Country.Name,year,GDP
Austria,X1961,7311749633
Azerbaijan,X1961,NA
Burundi,X1961,202999992
Belgium,X1961,12400145222
Benin,X1961,235668222.4
Burkina Faso,X1961,350247237.1
Bangladesh,X1961,4817580184
Bulgaria,X1961,NA
Bahrain,X1961,NA
Bahamas,X1961,190098039.2
Bosnia and Herzegovina,X1961,NA
Belarus,X1961,NA
Belize,X1961,29964370.71
Bermuda,X1961,89249986.7
Bolivia,X1961,612518906.8
Brazil,X1961,15236854859
Barbados,X1961,NA
Brunei,X1961,NA
Bhutan,X1961,NA
Botswana,X1961,32902336.64
Central African Republic,X1961,123134584.5
Canada,X1961,40767969454
Switzerland,X1961,10712712465
Channel Islands,X1961,NA
Chile,X1961,4609727273
China,X1961,50056868958
Ivory Coast,X1961,618245639.2
Cameroon,X1961,657597382.8
Democratic Republic of the Congo,X1961,3086746857
Republic of Congo,X1961,151675739.2
Colombia,X1961,4552914000
Comoros,X1961,NA
Cape Verde,X1961,NA
Costa Rica,X1961,490325181.6
Cuba,X1961,NA
Curacao,X1961,NA
Cayman Islands,X1961,NA
Cyprus,X1961,NA
Czech Republic,X1961,NA
Germany,X1961,NA
Djibouti,X1961,NA
Dominica,X1961,NA
Denmark,X1961,6933842099
Dominican Republic,X1961,654100200
Algeria,X1961,2434776646
Ecuador,X1961,979108806.8
Egypt,X1961,NA
Eritrea,X1961,NA
Spain,X1961,13834300571
Estonia,X1961,NA
Ethiopia,X1961,NA
Finland,X1961,5921659485
Fiji,X1961,116987784.9
France,X1961,68346741504
Faroe Islands,X1961,NA
Micronesia,X1961,NA
Gabon,X1961,167637907.4
UK,X1961,76694360636
Georgia,X1961,NA
Ghana,X1961,1302674264
Gibraltar,X1961,NA
Guinea,X1961,NA
Gambia,X1961,NA
Guinea-Bissau,X1961,NA
Equatorial Guinea,X1961,NA
Greece,X1961,5016048786
Grenada,X1961,NA
Greenland,X1961,NA
Guatemala,X1961,1076699900
Guam,X1961,NA
Guyana,X1961,185848451.3
"Hong Kong SAR, China",X1961,1383681651
Honduras,X1961,356200000
Croatia,X1961,NA
Haiti,X1961,NA
Hungary,X1961,NA
Indonesia,X1961,NA
Isle of Man,X1961,NA
India,X1961,38709096076
Ireland,X1961,2088012282
Iran,X1961,4426949095
Iraq,X1961,1831700364
Iceland,X1961,253885656.3
Israel,X1961,3138500000
Italy,X1961,44842760293
Jamaica,X1961,748028839.4
Jordan,X1961,NA
Japan,X1961,53508617739
Kazakhstan,X1961,NA
Kenya,X1961,792959472.1
Kyrgyzstan,X1961,NA
Cambodia,X1961,642857134.3
Kiribati,X1961,NA
St. Kitts and Nevis,X1961,12483229.31
South Korea,X1961,2417237754
Kuwait,X1961,NA
Laos,X1961,NA
Lebanon,X1961,NA
Liberia,X1961,183920900
Libya,X1961,NA
Saint Lucia,X1961,NA
Liechtenstein,X1961,NA
Sri Lanka,X1961,1444327731
Lesotho,X1961,35699286.01
Lithuania,X1961,NA
Luxembourg,X1961,704145671.4
Latvia,X1961,NA
"Macao SAR, China",X1961,NA
Saint Martin,X1961,NA
Morocco,X1961,2025689537
Monaco,X1961,NA
Moldova,X1961,NA
Madagascar,X1961,699161943.9
Maldives,X1961,NA
Mexico,X1961,1.42E+10
Marshall Islands,X1961,NA
Macedonia,X1961,NA
Mali,X1961,NA
Malta,X1961,NA
Myanmar,X1961,NA
Montenegro,X1961,NA
Mongolia,X1961,NA
Northern Mariana Islands,X1961,NA
Mozambique,X1961,NA
Mauritania,X1961,107726181.2
Mauritius,X1961,NA
Malawi,X1961,174576508.5
Malaysia,X1961,1901868548
Namibia,X1961,NA
New Caledonia,X1961,NA
Niger,X1961,485785234.9
Nigeria,X1961,4467200336
Nicaragua,X1961,NA
Netherlands,X1961,13493833740
Norway,X1961,5632460937
Nepal,X1961,531959561.6
Nauru,X1961,NA
New Zealand,X1961,5670064168
Oman,X1961,NA
Pakistan,X1961,4054599181
Panama,X1961,599026300
Peru,X1961,2899654840
Philippines,X1961,7256966966
Palau,X1961,NA
Papua New Guinea,X1961,244832035
Poland,X1961,NA
Puerto Rico,X1961,1865100000
North Korea,X1961,NA
Portugal,X1961,3417516639
Paraguay,X1961,NA
French Polynesia,X1961,NA
Qatar,X1961,NA
Romania,X1961,NA
Russia,X1961,NA
Rwanda,X1961,122000016
Saudi Arabia,X1961,NA
Sudan,X1961,1419333333
Senegal,X1961,836493109.2
